X,Y,FID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,NAICS_DESC,SOURCE,WEBSITE,TTL_STAFF,BEDS,TRAUMA,HELIPAD,IP Address,No of Access Points connected,Patients,Suggestive Factor,Recommended
-13318894.7592,4346975.4443,1,CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,HANFORD,CA,93230,GENERAL ACUTE CARE,49,KINGS,USA,36.3361588500001,-119.645667298,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.hanfordhealth.com,121,49,0,1,47.196.251.142,70,50,1.6858,Yes
-13226507.2733,4049625.5534,2,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,GENERAL ACUTE CARE,62,VENTURA,USA,34.1549388720001,-118.815736391,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.losrobleshospital.com,97,62,1,0,85.173.237.118,58,38,2.582409972299169,Yes
-13156201.0459,4031977.7232,3,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,GENERAL ACUTE CARE,127,LOS ANGELES,USA,34.023647302,-118.184164805,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.elalax.com,56,127,1,1,72.158.65.11,123,103,1.3351871052879631,Yes
-13171904.8938,4041752.3856,4,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,GENERAL ACUTE CARE,100,LOS ANGELES,USA,34.0963913570001,-118.325234871,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://sch-hollywood.com/,105,100,0,1,188.80.80.153,56,36,4.550925925925926,Yes
-13132075.1047,4037269.7587,5,KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,GENERAL ACUTE CARE,95,LOS ANGELES,USA,34.063038932,-117.967437788,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.khbaldwinpark.com,140,95,0,0,131.3.108.9,148,128,0.4058837890625,No
-13152220.0561,4009979.5733,6,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,GENERAL ACUTE CARE,172,LOS ANGELES,USA,33.8597066200001,-118.148402965,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.lakewoodregional.com,137,172,0,0,83.215.230.158,48,28,15.028061224489798,Yes
-13134883.6809,4048794.2127,7,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,GENERAL ACUTE CARE,49,LOS ANGELES,USA,34.1487586590001,-117.992667657,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.monroviamemorial.com,140,49,0,1,15.89.114.193,87,67,1.2640899977723323,Yes
-13151091.1948,4035446.0448,8,MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,GENERAL ACUTE CARE,101,LOS ANGELES,USA,34.0494660590001,-118.138262231,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.montereyparkhosp.com,140,101,1,1,243.162.101.225,64,44,4.651859504132231,Yes
-13175340.4444,4005182.4762,9,STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,TORRANCE,CA,90505,PSYCHIATRIC,16,LOS ANGELES,USA,33.823914464,-118.356096947,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.starsinc.com/,140,16,0,0,31.150.183.85,51,31,1.1654526534859522,Yes
-13086035.6172,4009761.9628,10,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,92879,GENERAL ACUTE CARE,78,RIVERSIDE,USA,33.8580833070001,-117.553858035,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.coronaregional.com,118,78,1,0,96.228.31.206,138,118,0.8305084745762712,No
